species_name,state,T_interval,cation,cat_num,oxy_num,T_min,T_max,A,B,C,D,E,F,G,H,Ref
Na(g),g,1,Na,1,0,1500,3000,18.8762053544448,2.52088788540108,-1.26456198109127,0.228920243939654,0.454260924482102,102.567243213192,177.080259329978,0,Na-005
K(g),g,1,K,1,0,1500,3000,23.2225825389066,-1.46949870915931,-0.209086598058643,0.227127377608987,-1.15615530546457,79.9795964620269,186.434225789939,0,K-005
SiO(g),g,1,Si,1,1,1500,3000,36.4119821984034,1.04807007073742,-0.277821905614034,0.0329547105826861,-1.50836241511607,-115.302519917527,249.638293433987,0,O-012
Fe(g),g,1,Fe,1,0,1500,3000,12.1267253823202,5.48015604117843,-0.358438243734011,0.00773262395768325,5.99990667075674,423.493650575767,207.638927804034,0,Fe-008
FeO(g),g,1,Fe,1,1,1500,3000,42.8013434338505,-6.00047689664157,2.5049378608087,-0.267681315066306,-2.47380852536239,232.555024665501,287.224894700937,0,Fe-021
Mg(g),g,1,Mg,1,0,1500,3000,16.9029276704961,4.28862059869123,-1.77940929149678,0.26364264993394,1.26997089493196,144.417437840633,170.93105040345,0,Mg-005
MgO(g),g,1,Mg,1,1,1500,3000,84.5615392920401,-39.9539558524929,12.5417947129687,-1.35076109091033,3.41909300245036,23.9638187400695,299.538110304608,0,Mg-011
SiO2(g),g,1,Si,1,2,1500,3000,60.9505911410211,1.06657540285021,-0.310800593307819,0.0325825075422984,-3.4921269957464,-332.900270907483,289.069225323505,0,O-040
O(g),g,1,,0,1,1500,3000,20.8710403863279,0.0475462930621931,-0.0951215252036018,0.0286900804048087,0.0441827365424194,243.209666727806,186.804587640047,0,O-001
AlO(g),g,1,Al,1,1,1500,3000,-28.7324658627173,66.6542550330647,-20.0960745972356,2.03020606936304,18.8969842104761,111.623420786176,211.656723535302,0,Al-074
AlO2(g),g,1,Al,1,2,1500,3000,62.6425079931831,-0.050581559416603,-0.14988986839243,0.0584179281211889,-2.14659122249939,-110.723218291127,318.926466749478,0,Al-077
Al2O(g),g,1,Al,2,1,1500,3000,61.8795913898929,0.449596676889508,-0.166957608485249,0.0228272318768516,-1.51292423550855,-168.018482803236,320.418970199846,0,Al-092
Al2O2(g),g,1,Al,2,2,1500,3000,82.9557202259453,0.154026857997668,-0.048143355744467,0.00540454688232507,-1.80399237678982,-424.954719994892,372.210232210699,0,Al-094
Na2(g),g,1,Na,2,0,1500,3000,114.270373223999,-64.6710761304695,14.9460175595044,-0.633466531474136,-27.4888020163301,55.3920758296594,320.885928881869,0,Na-011
NaO(g),g,1,Na,1,1,1500,3000,37.545355661658,0.705242254329388,0.0473995668459899,-0.00594986564987697,-0.323066258830036,71.4965365373439,272.848582421802,0,Na-008
K2(g),g,1,K,2,0,1500,3000,47.1908076044921,-20.4546626783652,5.94945966266428,-0.617577571261286,5.58922971917201,117.123033880735,316.361556209021,0,K-011
KO(g),g,1,K,1,1,1500,3000,37.3675220352868,0.99705529121469,-0.0173194740119977,0.00214452067683188,-0.158663125579936,59.413792194973,282.06987478334,0,K-008
Si(g),g,1,Si,1,0,1500,3000,14.4889523618949,5.06362118981608,-0.94222064396835,0.0492815953105899,2.59173705908879,450.742184208552,190.47075698291,0,Si-005
Al(g),g,1,Al,1,0,1500,3000,20.4443256460269,0.351835607960624,-0.134759610563238,0.0182040082160902,0.174754109865112,324.00353289948,189.77215774093,0,Al-005
CaO(g),g,1,Ca,1,1,1500,3000,-16.968728897323,8.22303508778629,17.6958191859142,-4.01069226461288,42.0656471347268,117.60471408987,266.402966800775,0,Ca-030
Ca(g),g,1,Ca,1,0,1500,3000,17.4342356816322,7.0625032442786,-4.70987915504956,1.03919377491234,-0.330634794571696,172.448601824973,174.861996253493,0,Ca-006
O2(g),g,1,,0,2,1500,3000,36.968440194934,-1.34047840048787,1.35815923534018,-0.188856387311611,-1.8717368315994,-15.8826786740787,243.357524494403,0,O-029
